2025-10-21 19:20:37.391 | PID:183 | TID123549303142208| API key not found in environment variables. Application may not function correctly.
2025-10-21 19:24:37.472 | PID:183 | TID123549303142208| ❌ Portland, Oregon failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:42.470 | PID:183 | TID123549303142208| ❌ Bend, Oregon failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:42.863 | PID:183 | TID123549303142208| ❌ Medford, Oregon failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:43.359 | PID:183 | TID123549303142208| ❌ Corvallis, Oregon failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:48.274 | PID:183 | TID123549303142208| ❌ Gresham, Oregon failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:48.779 | PID:183 | TID123549303142208| ❌ Beaverton, Oregon failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:24:49.231 | PID:183 | TID123549303142208| ❌ Billings, Montana failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:01.434 | PID:183 | TID123549303142208| ❌ Helena, Montana failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:12.438 | PID:183 | TID123549303142208| ❌ Whitefish, Montana failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:17.678 | PID:183 | TID123549303142208| ❌ Las Vegas, Nevada failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:51.020 | PID:183 | TID123549303142208| ❌ Sparks, Nevada failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:51.467 | PID:183 | TID123549303142208| ❌ Pahrump, Nevada failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:54.089 | PID:183 | TID123549303142208| ❌ Charleston, West Virginia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:59.494 | PID:183 | TID123549303142208| ❌ Wheeling, West Virginia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:25:59.918 | PID:183 | TID123549303142208| ❌ Beckley, West Virginia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:00.352 | PID:183 | TID123549303142208| ❌ Fairmont, West Virginia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:16.853 | PID:183 | TID123549303142208| ❌ Jackson, Wyoming failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:17.216 | PID:183 | TID123549303142208| ❌ Laramie, Wyoming failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:19.942 | PID:183 | TID123549303142208| ❌ Gillette, Wyoming failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:20.319 | PID:183 | TID123549303142208| ❌ Sheridan, Wyoming failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:38.792 | PID:183 | TID123549303142208| ❌ Mitchell, South Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:39.240 | PID:183 | TID123549303142208| ❌ Spearfish, South Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:44.321 | PID:183 | TID123549303142208| ❌ Huron, South Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:44.694 | PID:183 | TID123549303142208| ❌ Fargo, North Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:45.149 | PID:183 | TID123549303142208| ❌ Bismarck, North Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:45.481 | PID:183 | TID123549303142208| ❌ Grand Forks, North Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:48.103 | PID:183 | TID123549303142208| ❌ Dickinson, North Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:50.909 | PID:183 | TID123549303142208| ❌ Wahpeton, North Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:51.314 | PID:183 | TID123549303142208| ❌ Jamestown, North Dakota failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:58.543 | PID:183 | TID123549303142208| ❌ Columbia, South Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:58.948 | PID:183 | TID123549303142208| ❌ Greenville, South Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:26:59.359 | PID:183 | TID123549303142208| ❌ Myrtle Beach, South Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:02.053 | PID:183 | TID123549303142208| ❌ Florence, South Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:02.510 | PID:183 | TID123549303142208| ❌ Beaufort, South Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:05.128 | PID:183 | TID123549303142208| ❌ Rock Hill, South Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:10.032 | PID:183 | TID123549303142208| ❌ Santa Fe, New Mexico failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:10.526 | PID:183 | TID123549303142208| ❌ Las Cruces, New Mexico failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:15.530 | PID:183 | TID123549303142208| ❌ Taos, New Mexico failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:15.907 | PID:183 | TID123549303142208| ❌ Rio Rancho, New Mexico failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:16.388 | PID:183 | TID123549303142208| ❌ Carlsbad, New Mexico failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:36.389 | PID:183 | TID123549303142208| ❌ Pittsburgh, Pennsylvania failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:36.850 | PID:183 | TID123549303142208| ❌ Harrisburg, Pennsylvania failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:37.245 | PID:183 | TID123549303142208| ❌ Allentown, Pennsylvania failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:27:43.054 | PID:183 | TID123549303142208| ❌ Lancaster, Pennsylvania failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:30.333 | PID:183 | TID123549303142208| ❌ Moore, Oklahoma failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:30.764 | PID:183 | TID123549303142208| ❌ Enid, Oklahoma failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:31.115 | PID:183 | TID123549303142208| ❌ Ardmore, Oklahoma failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:46.385 | PID:183 | TID123549303142208| ❌ Hoboken, New Jersey failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:46.904 | PID:183 | TID123549303142208| ❌ Princeton, New Jersey failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:47.454 | PID:183 | TID123549303142208| ❌ Middletown, New Jersey failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:50.225 | PID:183 | TID123549303142208| ❌ Louisville, Kentucky failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:52.974 | PID:183 | TID123549303142208| ❌ Bowling Green, Kentucky failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:53.302 | PID:183 | TID123549303142208| ❌ Owensboro, Kentucky failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:56.414 | PID:183 | TID123549303142208| ❌ Paducah, Kentucky failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:56.772 | PID:183 | TID123549303142208| ❌ Covington, Kentucky failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:28:57.273 | PID:183 | TID123549303142208| ❌ Elizabethtown, Kentucky failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:02.274 | PID:183 | TID123549303142208| ❌ Wichita, Kansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:02.626 | PID:183 | TID123549303142208| ❌ Topeka, Kansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:03.061 | PID:183 | TID123549303142208| ❌ Kansas City, Kansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:03.439 | PID:183 | TID123549303142208| ❌ Olathe, Kansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:05.990 | PID:183 | TID123549303142208| ❌ Lawrence, Kansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:16.410 | PID:183 | TID123549303142208| ❌ Manhattan, Kansas failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
</body>
</html>

2025-10-21 19:29:26.380 | PID:183 | TID123549303142208| ❌ Salina, Kansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:33.703 | PID:183 | TID123549303142208| ❌ Shreveport, Louisiana failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:34.111 | PID:183 | TID123549303142208| ❌ Lafayette, Louisiana failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:43.758 | PID:183 | TID123549303142208| ❌ Natchitoches, Louisiana failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:44.234 | PID:183 | TID123549303142208| ❌ Slidell, Louisiana failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:49.977 | PID:183 | TID123549303142208| ❌ Bangor, Maine failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:50.472 | PID:183 | TID123549303142208| ❌ Bar Harbor, Maine failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:53.237 | PID:183 | TID123549303142208| ❌ Lewiston, Maine failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:55.991 | PID:183 | TID123549303142208| ❌ Rockland, Maine failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:56.369 | PID:183 | TID123549303142208| ❌ Camden, Maine failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:29:59.529 | PID:183 | TID123549303142208| ❌ Baltimore, Maryland failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:08.080 | PID:183 | TID123549303142208| ❌ Gaithersburg, Maryland failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:08.510 | PID:183 | TID123549303142208| ❌ Silver Spring, Maryland failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:14.354 | PID:183 | TID123549303142208| ❌ Hagerstown, Maryland failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:39.941 | PID:183 | TID123549303142208| ❌ Boston, Massachusetts failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:40.360 | PID:183 | TID123549303142208| ❌ Worcester, Massachusetts failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:43.730 | PID:183 | TID123549303142208| ❌ Cambridge, Massachusetts failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:44.115 | PID:183 | TID123549303142208| ❌ Lowell, Massachusetts failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:49.057 | PID:183 | TID123549303142208| ❌ Plymouth, Massachusetts failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:49.437 | PID:183 | TID123549303142208| ❌ Gloucester, Massachusetts failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:30:57.200 | PID:183 | TID123549303142208| ❌ Boulder, Colorado failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:03.099 | PID:183 | TID123549303142208| ❌ Vail, Colorado failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:05.976 | PID:183 | TID123549303142208| ❌ Durango, Colorado failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:06.381 | PID:183 | TID123549303142208| ❌ Grand Junction, Colorado failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:16.184 | PID:183 | TID123549303142208| ❌ Seward, Alaska failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:48.881 | PID:183 | TID123549303142208| ❌ Tuscaloosa, Alabama failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
</body>
</html>

2025-10-21 19:31:49.350 | PID:183 | TID123549303142208| ❌ Auburn, Alabama failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:49.734 | PID:183 | TID123549303142208| ❌ Florence, Alabama failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:50.115 | PID:183 | TID123549303142208| ❌ Gulf Shores, Alabama failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:52.837 | PID:183 | TID123549303142208| ❌ Dothan, Alabama failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:53.225 | PID:183 | TID123549303142208| ❌ Little Rock, Arkansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:31:56.131 | PID:183 | TID123549303142208| ❌ Bentonville, Arkansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:00.973 | PID:183 | TID123549303142208| ❌ Jonesboro, Arkansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:01.411 | PID:183 | TID123549303142208| ❌ Conway, Arkansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:06.958 | PID:183 | TID123549303142208| ❌ Rogers, Arkansas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:17.023 | PID:183 | TID123549303142208| ❌ Dover, New Hampshire failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:17.389 | PID:183 | TID123549303142208| ❌ Keene, New Hampshire failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:27.792 | PID:183 | TID123549303142208| ❌ Hanover, New Hampshire failed: <html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
</body>
</html>

2025-10-21 19:32:28.233 | PID:183 | TID123549303142208| ❌ Lebanon, New Hampshire failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:39.212 | PID:183 | TID123549303142208| ❌ Exeter, New Hampshire failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:41.962 | PID:183 | TID123549303142208| ❌ Milwaukee, Wisconsin failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:42.418 | PID:183 | TID123549303142208| ❌ Madison, Wisconsin failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:45.064 | PID:183 | TID123549303142208| ❌ Kenosha, Wisconsin failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:45.519 | PID:183 | TID123549303142208| ❌ Racine, Wisconsin failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:48.390 | PID:183 | TID123549303142208| ❌ Eau Claire, Wisconsin failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:32:51.266 | PID:183 | TID123549303142208| ❌ La Crosse, Wisconsin failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:08.319 | PID:208 | TID139223009142592| ❌ Orlando, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:08.846 | PID:208 | TID139223009142592| ❌ Miami, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:09.187 | PID:208 | TID139223009142592| ❌ Key West, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:11.869 | PID:208 | TID139223009142592| ❌ Tampa, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:12.285 | PID:208 | TID139223009142592| ❌ Clearwater, Florida failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:15.123 | PID:208 | TID139223009142592| ❌ Ft. Walton Beach , FloridaAustin, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:17.723 | PID:208 | TID139223009142592| ❌ Galveston, Texas failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:18.065 | PID:208 | TID139223009142592| ❌ Wilmington, North Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:18.509 | PID:208 | TID139223009142592| ❌ Boone, North Carolina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:21.117 | PID:208 | TID139223009142592| ❌ Cleveland, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:23.826 | PID:208 | TID139223009142592| ❌ Columbus, Georgia failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:24.280 | PID:208 | TID139223009142592| ❌ Virgina Beach, Virgina failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
2025-10-21 19:57:26.998 | PID:208 | TID139223009142592| ❌ Traverse City, Michigan failed: {"message":"You have exceeded the rate limit per second for your plan, PRO, by the API provider"}
